,carat,cut,color,clarity,depth,table,length,width,height,price
53459,0.7,Ideal,E,SI1,62.8,55.0,5.65,5.69,3.56,2677
7024,0.9,Premium,E,SI1,62.9,58.0,6.16,6.11,3.86,4158
36455,0.31,Ideal,D,VS2,62.5,56.0,4.36,4.31,2.71,942
44694,0.56,Ideal,H,SI1,61.6,56.0,5.29,5.33,3.27,1612
25439,1.2,Premium,E,VVS1,60.6,60.0,6.95,6.85,4.18,14192
31930,0.3,Ideal,F,VS2,62.0,54.0,4.34,4.31,2.68,776
11833,1.0,Premium,H,VS2,61.3,61.0,6.44,6.38,3.93,5096
38789,0.31,Ideal,G,VVS1,60.7,57.0,4.4,4.37,2.66,1046
12240,1.05,Ideal,H,SI1,61.1,56.0,6.52,6.58,4.0,5200
9825,1.01,Good,G,SI1,63.9,57.0,6.37,6.3,4.05,4672
11034,1.22,Premium,I,SI2,62.3,58.0,6.85,6.8,4.25,4919
16320,1.09,Ideal,D,SI1,61.3,55.9,6.61,6.65,4.06,6532
10174,1.0,Premium,H,VS1,59.1,60.0,6.45,6.42,3.8,4732
13363,0.24,Very Good,F,VS2,61.9,59.0,3.98,4.0,2.47,419
12720,1.24,Premium,D,SI2,61.0,59.0,6.93,6.97,4.24,5311
23565,1.57,Premium,H,VS2,61.0,59.0,7.54,7.5,4.59,11575
25182,1.52,Premium,G,VS2,62.8,60.0,7.26,7.22,4.55,13768
2557,0.73,Ideal,G,VS1,60.8,56.4,5.81,5.86,3.55,3209
37877,0.42,Very Good,E,VS1,62.9,57.0,4.75,4.79,3.0,1005
52617,0.71,Premium,D,SI1,59.2,62.0,5.83,5.8,3.44,2547
6861,0.81,Ideal,G,VVS2,61.7,55.1,5.97,6.04,3.71,4127
45788,0.59,Very Good,I,VVS1,62.8,58.0,5.3,5.34,3.34,1709
30013,0.38,Ideal,E,VS2,61.5,56.0,4.65,4.69,2.87,717
7417,1.02,Premium,F,SI2,62.7,59.0,6.45,6.38,4.02,4227
6575,1.12,Premium,I,SI1,61.3,58.0,6.69,6.68,4.1,4077
32577,0.41,Ideal,G,VS2,60.7,56.0,4.77,4.82,2.91,801
21855,1.19,Ideal,G,VS1,62.4,54.0,6.78,6.81,4.24,9918
35916,0.43,Ideal,H,SI1,62.4,56.0,4.83,4.81,3.01,919
44083,0.6,Very Good,F,SI1,60.0,61.0,5.48,5.52,3.3,1554
19816,1.23,Premium,G,VS1,61.8,58.0,6.88,6.84,4.24,8381
430,0.76,Ideal,E,SI1,61.7,57.0,5.88,5.85,3.62,2814
37610,0.24,Very Good,E,VVS1,61.7,61.0,3.95,3.99,2.45,485
36266,0.4,Good,F,VVS2,62.2,63.0,4.66,4.69,2.91,936
35196,0.31,Ideal,G,IF,61.2,55.0,4.4,4.42,2.7,891
36693,0.39,Ideal,G,VVS2,61.6,56.6,4.68,4.71,2.9,952
9072,1.03,Very Good,H,SI1,61.1,59.0,6.5,6.56,3.99,4520
24759,2.0,Very Good,J,VS2,60.7,59.0,8.12,8.15,4.94,13113
8821,1.23,Very Good,G,SI2,61.0,63.0,6.91,6.85,4.2,4477
4619,0.87,Very Good,D,SI1,60.2,60.0,6.12,6.17,3.7,3664
33543,0.35,Ideal,E,VS1,61.9,56.0,4.51,4.53,2.8,829
23724,0.25,Very Good,F,VVS1,62.9,55.0,4.04,4.06,2.55,633
20885,1.62,Premium,F,SI2,61.6,60.0,7.52,7.55,4.64,9106
23142,1.51,Premium,H,VS1,61.0,60.0,7.29,7.34,4.46,11161
11060,0.34,Ideal,D,SI1,60.9,56.0,4.53,4.56,2.76,596
32049,0.43,Ideal,I,VS2,62.1,57.0,4.83,4.86,3.01,780
4026,0.71,Good,D,VS1,59.2,56.0,5.84,5.85,3.46,3524
1561,0.72,Ideal,F,SI1,62.3,56.0,5.77,5.79,3.6,3004
45853,0.55,Good,E,VS2,60.3,61.0,5.31,5.37,3.22,1715
49785,0.71,Good,I,VS1,64.2,56.0,5.62,5.66,3.62,2161
36781,0.39,Ideal,F,VS1,60.9,56.0,4.75,4.68,2.87,956
52260,0.78,Premium,H,SI1,60.0,60.0,5.93,5.92,3.62,2489
11022,1.24,Ideal,G,SI1,62.7,56.0,6.89,6.85,4.31,4916
40307,0.4,Premium,E,VS1,60.3,58.0,4.82,4.8,2.9,1125
51173,0.34,Ideal,D,IF,62.1,57.0,4.52,4.46,2.79,2346
23540,1.14,Premium,F,VVS1,59.4,59.0,6.87,6.8,4.06,11549
46755,0.53,Ideal,F,VS1,61.4,57.0,5.18,5.2,3.19,1800
13144,1.05,Very Good,G,SI1,60.2,58.0,6.57,6.61,3.97,5438
42638,0.5,Ideal,D,SI2,62.5,55.0,5.14,5.07,3.19,1332
12249,1.05,Ideal,G,SI1,59.7,56.0,6.67,6.64,3.97,5204
13510,1.06,Premium,G,VS2,62.5,58.0,6.52,6.47,4.06,5543
42508,0.5,Ideal,I,VVS2,61.8,57.0,5.09,5.11,3.15,1322
12001,1.01,Premium,H,VS1,61.6,57.0,6.47,6.38,3.96,5147
38677,0.3,Ideal,D,VVS2,61.6,56.0,4.32,4.35,2.67,1041
1063,0.31,Ideal,E,SI2,61.7,56.0,4.4,4.35,2.7,558
23400,1.13,Ideal,E,VVS2,60.1,59.0,6.77,6.81,4.08,11387
48897,0.71,Premium,F,SI2,62.2,57.0,5.66,5.6,3.5,2040
